Your address (Street Address),Your address (Address Line 2),Your address (City),Your address (State / Province),Your address (ZIP / Postal Code),Your address (Country),Tour choice,Drink order,Phone,Hand bag,Pet,Complete Works of Shakespeare,Please answer: I believe that it is important to brush my teeth after every meal.,Total,Created By (User Id),Entry Id,Entry Date,Date Updated,Transaction Id,Payment Amount,Payment Date,Payment Status,Post Id,User Agent,Approval Status,Workflow Current Status Timestamp,Help Scout Conversation ID
,,,Arizona,,United States,Leopard|20,Tea,Phone,Hand bag,,,5. Strongly agree,20,,11552,18/7/2023 13:17,18/7/2023 3:17,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",3,,
,,,Alaska,,United States,Dinosaur|10,Coffee,Phone,,,,1. Strongly disagree,10,,11468,23/6/2023 10:02,23/6/2023 0:02,,,,,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/114.0,3,,
,,,Hawaii,,United States,Etchings|18.5,Tea,Phone,,,,1. Strongly disagree,18.5,,11441,11/6/2023 21:49,11/6/2023 11:49,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",3,,
,,,Alaska,,United States,Etchings|18.5,Coffee,,Hand bag,,,1. Strongly disagree,18.5,,11422,7/6/2023 4:26,6/6/2023 18:26,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",3,,
,,,Alabama,,United States,Dinosaur|10,Tea,Phone,,,,1. Strongly disagree,10,,11363,12/5/2023 21:44,12/5/2023 11:44,,,,,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/113.0,3,,
,,,Alaska,,United States,Dinosaur|10,Tea,Phone,Hand bag,,,1. Strongly disagree,10,,11338,2/5/2023 20:18,2/5/2023 10:18,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36",3,,
,,,Alabama,,United States,Leopard|20,Coffee,Phone,Hand bag,,,5. Strongly agree,20,,11267,4/4/2023 4:50,3/4/2023 18:50,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",3,,
,,,Arizona,,United States,Dinosaur|10,Coffee,,Hand bag,,,3. Neutral,10,,11236,21/3/2023 12:18,21/3/2023 1:18,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",3,,
,,,Guam,,United States,Dinosaur|10,Tea,,Hand bag,,,1. Strongly disagree,10,,11232,20/3/2023 23:33,20/3/2023 12:33,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",3,,
,,,Kansas,,United States,Etchings|18.5,Coffee,,Hand bag,,,1. Strongly disagree,18.5,,11213,14/3/2023 4:06,13/3/2023 17:06,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36 Edg/110.0.1587.63",3,,
,,,Virginia,,United States,Etchings|18.5,Coffee,Phone,Hand bag,,,3. Neutral,18.5,,11118,7/2/2023 2:05,6/2/2023 15:05,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36",3,,
,,,South Carolina,,United States,Dinosaur|10,Tea,,Hand bag,,,1. Strongly disagree,10,,10859,30/10/2022 22:27,30/10/2022 11:27,,,,,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:106.0) Gecko/20100101 Firefox/106.0,3,,
,,,Alabama,,United States,Dinosaur|10,Coffee,,Hand bag,,,1. Strongly disagree,10,,10741,24/8/2022 14:08,24/8/2022 4:08,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.5 Safari/605.1.15",3,,
,,,Arkansas,,United States,Dinosaur|10,Coffee,,Hand bag,,,2. Disagree,10,,10685,27/7/2022 17:26,27/7/2022 7:26,,,,,,"Mozilla/5.0 (Linux; Android 10; moto g(7) power) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Mobile Safari/537.36 EdgA/103.0.1264.62",3,,
,,,Alabama,,United States,Etchings|18.5,Tea,Phone,,,,1. Strongly disagree,18.5,,10623,17/6/2022 23:36,17/6/2022 13:36,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36",3,,
,,,Alaska,,United States,Leopard|20,Tea,,Hand bag,,,1. Strongly disagree,20,,10569,23/5/2022 15:23,23/5/2022 5:23,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36",3,,
,,,Florida,,United States,Dinosaur|10,Coffee,Phone,,Pet,,5. Strongly agree,10,2274,10540,7/5/2022 5:38,6/5/2022 19:38,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.88 Safari/537.36",3,,
,,,Florida,,United States,Dinosaur|10,Coffee,Phone,,Pet,,4. Agree,10,2274,10539,7/5/2022 5:37,6/5/2022 19:37,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.88 Safari/537.36",3,,
,,,Alabama,,United States,Etchings|18.5,Tea,Phone,,,,3. Neutral,18.5,,9848,6/3/2022 7:40,5/3/2022 20:40,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.109 Safari/537.36",3,,
,,,Alaska,,United States,Dinosaur|10,Tea,Phone,,,,1. Strongly disagree,10,,9760,18/1/2022 5:43,17/1/2022 18:43,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36",3,,
,,,Tennessee,,United States,Poetry|5,Coffee,Phone,Hand bag,,,2. Disagree,5,,9713,21/12/2021 7:08,20/12/2021 20:08,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",3,,
,,,Hawaii,,United States,Dinosaur|10,Tea,Phone,,Pet,,4. Agree,10,,9701,14/12/2021 14:00,14/12/2021 3:00,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Safari/537.36",3,,
,,,Tennessee,,United States,Dinosaur|10,Coffee,Phone,Hand bag,,,2. Disagree,10,,9643,16/11/2021 1:49,15/11/2021 14:49,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",3,,
,,,Alabama,,United States,Leopard|20,Coffee,,Hand bag,,,5. Strongly agree,20,,9640,15/11/2021 18:53,15/11/2021 7:53,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15",3,,
,,,California,,United States,Dinosaur|10,Tea,Phone,,,,1. Strongly disagree,10,,9637,14/11/2021 0:33,13/11/2021 13:33,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",3,,
,,,Alaska,,United States,Dinosaur|10,Tea,,,Pet,,1. Strongly disagree,10,,9539,6/10/2021 1:02,5/10/2021 14:02,,,,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_8 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/94.0.4606.52 Mobile/15E148 Safari/604.1",3,,
,,,New Jersey,,United States,Dinosaur|10,Coffee,Phone,,,,4. Agree,10,,9532,24/9/2021 10:07,24/9/2021 0:07,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36",3,,
,,,Alabama,,United States,Etchings|18.5,Coffee,Phone,Hand bag,,,1. Strongly disagree,18.5,,9522,11/9/2021 9:43,10/9/2021 23:43,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4630.2 Safari/537.36",3,,
,,,District of Columbia,,United States,Dinosaur|10,Tea,,Hand bag,,,3. Neutral,10,,9504,27/8/2021 4:08,26/8/2021 18:08,,,,,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0,3,,
,,,Hawaii,,United States,Leopard|20,Coffee,Phone,Hand bag,,,3. Neutral,20,,9488,16/8/2021 17:13,16/8/2021 7:13,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",3,,
,,,California,,United States,Leopard|20,Coffee,Phone,Hand bag,,,5. Strongly agree,20,,9487,16/8/2021 16:18,16/8/2021 6:18,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36 OPR/78.0.4093.147",3,,
,,,Hawaii,,United States,Dinosaur|10,Tea,,,Pet,,4. Agree,10,,9421,21/7/2021 0:21,20/7/2021 14:21,,,,,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:89.0) Gecko/20100101 Firefox/89.0,3,,
,,,Tennessee,,United States,Dinosaur|10,No,Phone,,,,2. Disagree,10,,9419,19/7/2021 5:20,18/7/2021 19:20,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",3,,
,,,Washington,,United States,Dinosaur|10,Tea,Phone,,,,2. Disagree,10,,9415,16/7/2021 12:39,16/7/2021 2:39,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",3,,
,,,Delaware,,United States,Dinosaur|10,Tea,,Hand bag,,,3. Neutral,10,,9406,9/7/2021 20:39,9/7/2021 10:39,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",3,,
,,,Delaware,,United States,Dinosaur|10,Tea,,Hand bag,,,3. Neutral,10,,9405,9/7/2021 20:18,9/7/2021 10:18,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",3,,
,,,Arkansas,,United States,Dinosaur|10,Coffee,,,,,4. Agree,10,,9393,3/7/2021 23:23,3/7/2021 13:23,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",3,,
,,,Alabama,,United States,Dinosaur|10,Tea,,,,,1. Strongly disagree,10,,9354,13/6/2021 12:28,13/6/2021 2:28,,,,,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0,3,,
,,,Idaho,,United States,Poetry|5,Coffee,Phone,,,,5. Strongly agree,5,,9345,9/6/2021 1:49,8/6/2021 15:49,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36",3,,
,,,Alaska,,United States,Dinosaur|10,Coffee,,,Pet,,3. Neutral,10,,9343,8/6/2021 9:14,7/6/2021 23:14,,,,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Mobile/15E148 Safari/604.1",3,,
,,,California,,United States,Leopard|20,Tea,Phone,,,,2. Disagree,20,1585,9342,8/6/2021 3:22,7/6/2021 17:22,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36",3,,
,,,Illinois,,United States,Dinosaur|10,Tea,Phone,,,,1. Strongly disagree,10,,9331,2/6/2021 8:27,1/6/2021 22:27,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36 OPR/76.0.4017.154",3,,
,,,Indiana,,United States,Dinosaur|10,Tea,,Hand bag,,,2. Disagree,10,,9330,2/6/2021 6:10,1/6/2021 20:10,,,,,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:88.0) Gecko/20100101 Firefox/88.0,3,,
,,,Arizona,,United States,Dinosaur|10,Coffee,Phone,,,,1. Strongly disagree,10,,9299,16/5/2021 2:31,15/5/2021 16:31,,,,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_4_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Mobile/15E148 Safari/604.1",3,,
,,,Indiana,,United States,Dinosaur|10,Tea,,Hand bag,,,1. Strongly disagree,10,,9295,13/5/2021 22:20,13/5/2021 12:20,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",3,,
,,,Hawaii,,United States,Poetry|5,Tea,,,,Complete Works of Shakespeare,3. Neutral,5,,9264,28/4/2021 15:32,28/4/2021 5:32,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",3,,
,,,Alaska,,United States,Leopard|20,Tea,,Hand bag,,,1. Strongly disagree,20,,9226,9/4/2021 17:31,9/4/2021 7:31,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36",3,,
,,,Idaho,,United States,Dinosaur|10,Tea,,,Pet,Complete Works of Shakespeare,3. Neutral,10,,9195,27/3/2021 17:11,27/3/2021 6:11,,,,,,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:86.0) Gecko/20100101 Firefox/86.0,3,,
,,,Georgia,,United States,Dinosaur|10,Tea,,Hand bag,,,2. Disagree,10,,9188,21/3/2021 1:57,20/3/2021 14:57,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36",3,,
,,,Alabama,,United States,Dinosaur|10,Coffee,Phone,,,,3. Neutral,10,,9167,10/3/2021 0:36,9/3/2021 13:36,,,,,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,3,,
,,,Alabama,,United States,Dinosaur|10,Tea,Phone,,,,4. Agree,10,,9166,9/3/2021 19:57,9/3/2021 8:57,,,,,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:86.0) Gecko/20100101 Firefox/86.0,3,,
,,,Arkansas,,United States,Dinosaur|10,Coffee,Phone,,,,4. Agree,10,,9159,6/3/2021 2:45,5/3/2021 15:45,,,,,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0,3,,
,,,Indiana,,United States,Dinosaur|10,Tea,Phone,,,,2. Disagree,10,,9150,4/3/2021 19:45,4/3/2021 8:45,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.182 Safari/537.36 Edg/88.0.705.81",3,,
,,,Colorado,,United States,Leopard|20,Tea,,Hand bag,,,1. Strongly disagree,20,1774,9141,1/3/2021 10:16,28/2/2021 23:16,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.192 Safari/537.36",3,,
,,,California,,United States,Etchings|18.5,Coffee,Phone,,Pet,,4. Agree,18.5,,9137,26/2/2021 9:46,25/2/2021 22:46,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.190 Safari/537.36",3,,
,,,California,,United States,Dinosaur|10,Tea,Phone,,,,5. Strongly agree,10,,9119,18/2/2021 19:59,18/2/2021 8:59,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",3,,
,,,Hawaii,,United States,Dinosaur|10,Coffee,,Hand bag,,,2. Disagree,10,,9118,18/2/2021 16:32,18/2/2021 5:32,,,,,,"Mozilla/5.0 (X11; CrOS x86_64 13597.84.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.153 Safari/537.36",3,,
,,,Georgia,,United States,Leopard|20,Tea,,,Pet,,4. Agree,20,,9114,17/2/2021 8:40,16/2/2021 21:40,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36 Edg/88.0.705.68",3,,
,,,Arizona,,United States,Dinosaur|10,Coffee,Phone,,,,5. Strongly agree,10,,9113,16/2/2021 22:27,16/2/2021 11:27,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.96 Safari/537.36",3,,
,,,Alabama,,United States,Dinosaur|10,Tea,,Hand bag,,,1. Strongly disagree,10,,9094,7/2/2021 0:43,6/2/2021 13:43,,,,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1",3,,
,,,California,,United States,Dinosaur|10,Tea,,,,,2. Disagree,10,,9081,31/1/2021 0:38,30/1/2021 13:38,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 11_1_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.96 Safari/537.36",3,,
,,,Louisiana,,United States,Dinosaur|10,Tea,,Hand bag,,,1. Strongly disagree,10,,9072,26/1/2021 19:26,26/1/2021 8:26,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",3,,
,,,Delaware,,United States,Dinosaur|10,Tea,Phone,,,,2. Disagree,10,,9061,21/1/2021 2:09,20/1/2021 15:09,,,,,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",3,,
,,,Hawaii,,United States,Poetry|5,Coffee,Phone,Hand bag,,,3. Neutral,5,,9060,20/1/2021 13:19,20/1/2021 2:19,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15",3,,
,,,Colorado,,United States,Dinosaur|10,Coffee,Phone,Hand bag,Pet,Complete Works of Shakespeare,1. Strongly disagree,10,,9056,17/1/2021 8:04,16/1/2021 21:04,,,,,,"Mozilla/5.0 (Linux; Android 9; JAT-LX3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Mobile Safari/537.36",3,,
,,,Arizona,,United States,Leopard|20,Tea,,Hand bag,,,2. Disagree,20,,9053,14/1/2021 17:23,14/1/2021 6:23,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",3,,
,,,Arizona,,United States,Dinosaur|10,Tea,Phone,Hand bag,Pet,,1. Strongly disagree,10,,9049,12/1/2021 7:45,11/1/2021 20:45,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",3,,
,,,Alaska,,United States,Poetry|5,Tea,Phone,Hand bag,,,2. Disagree,5,,9033,2/1/2021 20:53,2/1/2021 9:53,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",3,,
,,,Alabama,,United States,Dinosaur|10,Tea,,Hand bag,,,1. Strongly disagree,10,,9029,1/1/2021 15:20,1/1/2021 4:20,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",3,,
,,,Alabama,,United States,Dinosaur|10,Tea,Phone,,,,1. Strongly disagree,10,,9023,24/12/2020 3:00,23/12/2020 16:00,,,,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 DuckDuckGo/7",3,,
,,,New Hampshire,,United States,Etchings|18.5,Tea,,Hand bag,,,2. Disagree,18.5,,9020,23/12/2020 3:00,22/12/2020 16:00,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",3,,
,,,Alabama,,United States,Dinosaur|10,Coffee,,,,,1. Strongly disagree,10,,9010,18/12/2020 9:50,17/12/2020 22:50,,,,,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:82.0) Gecko/20100101 Firefox/82.0,3,,
,,,Idaho,,United States,Dinosaur|10,Coffee,Phone,,,,5. Strongly agree,10,,9004,15/12/2020 7:44,14/12/2020 20:44,,,,,,"Mozilla/5.0 (Linux; Android 9; SM-J330FN) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.101 Mobile Safari/537.36",3,,
,,,Arizona,,United States,Dinosaur|10,Coffee,Phone,,,,1. Strongly disagree,10,,9003,15/12/2020 0:04,14/12/2020 13:04,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.1 Safari/605.1.15",3,,
,,,Arkansas,,United States,Etchings|18.5,Coffee,Phone,,Pet,,3. Neutral,18.5,,8999,13/12/2020 5:36,12/12/2020 18:36,,,,,,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36 OPR/72.0.3815.400",3,,
,,,Alabama,,United States,Poetry|5,Tea,,,,Complete Works of Shakespeare,1. Strongly disagree,5,,8998,12/12/2020 1:50,11/12/2020 14:50,,,,,,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",3,,
,,,Vermont,,United States,Leopard|20,Tea,,Hand bag,Pet,,3. Neutral,20,,8992,10/12/2020 6:04,9/12/2020 19:04,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",3,,
