ENTITY NAME,ENTITY ID,EXCHANGE,INDUSTRY CLASSIFICATION(GICS),DIVIDEND YIELD 2019(%),DIVIDEND YIELD 2020(%),DIVIDEND YIELD 2021(%),DIVIDEND YIELD 2022(%),DIVIDEND YIELD 2023(%),MARKET CAP(HK$M),CURRENT ROE(%),ROE 2019(%),ROE 2020(%),ROE 2021(%),ROE 2022(%),ROE 2023(%),DIVIDEND PAYOUT RATIO 2019(%),DIVIDEND PAYOUT RATIO 2020(%),DIVIDEND PAYOUT RATIO 2021(%),DIVIDEND PAYOUT RATIO 2022(%),DIVIDEND PAYOUT RATIO 2023(%),DAY CLOSE PRICE 1/2/2019(HK$),DAY CLOSE PRICE 12/31/2019(HK$),PRICE CHANGE IN 2019(%),DAY CLOSE PRICE 1/2/2020(HK$),DAY CLOSE PRICE 12/31/2020(HK$),PRICE CHANGE IN 2020(%),DAY CLOSE PRICE 1/4/2021(HK$),DAY CLOSE PRICE 12/31/2021(HK$),PRICE CHANGE IN 2021(%),DAY CLOSE PRICE 1/3/2022(HK$),DAY CLOSE PRICE 12/30/2022(HK$),PRICE CHANGE IN 2022(%),DAY CLOSE PRICE 1/3/2023(HK$),DAY CLOSE PRICE 12/29/2023(HK$),PRICE CHANGE IN 2023(%),,,,DIVIDEND YIELD (%),PRICE CHANGE (%),,DIVIDEND PAYOUT RATIO (%),PRICE CHANGE (%)
"Bank of Chongqing Co., Ltd. (SEHK:1963)",4306523,SEHK,Financials; Banks; Banks; Regional Banks; Regional Commercial Banks,3.75,5.32,10.09,11.22,10.92,"22,035.62",9.44,11.80,11.33,10.65,10.16,9.44,18.96,28.89,30.54,34.05,37.33,4.41,4.67,5.90,4.74,4.85,2.32,4.83,4.46,(7.66),4.45,4.07,(8.54),4.11,3.96,(3.65),,,,3.75,5.90,,18.96,5.90
"Bank of Communications Co., Ltd. (SEHK:3328)",4147549,SEHK,Financials; Banks; Banks; Diversified Banks; Diversified Commercial Banks,6.15,8.41,8.08,9.27,8.37,"465,216.68",8.74,10.37,9.48,9.59,9.15,8.74,31.44,32.21,30.65,31.29,32.66,5.96,5.54,(7.05),5.61,4.10,(26.92),4.08,4.71,15.44,4.74,4.49,(5.27),4.58,4.87,6.33,,,,6.15,-7.05,,31.44,-7.05
"Bank of Qingdao Co., Ltd. (SEHK:3866)",4283860,SEHK,Financials; Regional Banks; Regional Commercial Banks; Banks; Banks; National and State Commercial Banks; National Commercial Banks,3.76,4.93,4.62,6.04,9.23,"17,190.54",9.59,8.06,7.99,9.32,9.06,9.59,50.81,44.79,29.91,34.32,28.09,7.56,6.10,(19.31),6.09,4.45,(26.93),4.65,4.69,0.86,4.67,3.13,(32.98),3.17,1.92,(39.43),,,,3.76,-19.31,,50.81,-19.31
Beijing Enterprises Holdings Limited (SEHK:392),4987914,SEHK,Utilities; Utilities; Gas Utilities; Gas Utilities; Oil and Gas Distribution,3.16,4.51,4.24,5.40,7.48,"29,688.88",6.53,10.21,6.12,10.19,7.79,6.53,17.70,27.21,14.50,22.49,NA,40.25,35.75,(11.18),36.10,25.30,(29.92),25.35,26.90,6.11,27.00,25.00,(7.41),25.85,27.15,5.03,,,,3.16,-11.18,,17.70,-11.18
Beijing Enterprises Water Group Limited (SEHK:371),4608046,SEHK,Utilities; Utilities; Water Utilities; Water Utilities; Sewage Treatment Systems; Water Supply; Water Purification,4.82,5.19,5.54,6.85,9.02,"19,189.02",5.67,13.85,10.11,9.06,4.42,5.67,36.87,37.44,42.92,101.95,NA,3.90,3.94,1.03,3.97,3.12,(21.41),3.10,3.03,(2.26),3.11,2.00,(35.69),2.02,1.74,(13.86),,,,4.82,1.03,,36.87,1.03
"Beijing Jingneng Clean Energy Co., Limited (SEHK:579)",5000937,SEHK,Utilities; Independent Power and Renewable Electricity Producers; Independent Power Producers and Energy Traders; Utilities,5.57,3.10,3.27,4.48,7.60,"14,675.22",9.66,9.72,9.69,9.28,9.52,9.66,26.30,25.49,23.90,23.10,NA,1.77,1.36,(23.16),1.37,2.54,85.40,2.55,2.53,(0.78),2.69,1.84,(31.60),1.93,1.73,(10.36),,,,5.57,-23.16,,26.30,-23.16
Beijing Tong Ren Tang Chinese Medicine Company Limited (SEHK:3613),4811938,SEHK,"Health Care; Pharmaceuticals, Biotechnology and Life Sciences; Pharmaceuticals; Pharmaceuticals; Pharmaceutical Products",1.96,2.82,1.79,2.44,2.72,"7,508.79",15.22,19.93,19.27,19.54,19.00,15.22,34.62,35.49,33.05,36.29,NA,12.10,11.76,(2.81),12.16,8.15,(32.98),8.19,13.42,63.86,14.14,11.46,(18.95),11.58,12.14,4.84,,,,1.96,-2.81,,34.62,-2.81
BOC Aviation Limited (SEHK:2588),4313347,SEHK,Industrials; Capital Goods; Trading Companies and Distributors; Trading Companies and Distributors,3.20,4.11,3.09,3.15,3.81,"43,340.95",13.95,16.00,10.90,11.18,0.38,13.95,31.95,48.34,28.08,907.13,26.36,57.20,79.25,38.55,78.40,67.00,(14.54),63.70,57.10,(10.36),57.40,65.15,13.50,66.95,59.70,(10.83),,,,3.20,38.55,,31.95,38.55
BOC Hong Kong (Holdings) Limited (SEHK:2388),4156486,SEHK,Financials; Banks; Banks; Diversified Banks; Diversified Commercial Banks,5.43,6.12,4.86,4.25,6.78,"237,887.56",10.74,11.50,9.08,7.73,8.34,10.74,48.40,47.13,49.07,52.50,51.82,28.45,27.05,(4.92),27.05,23.50,(13.12),24.00,25.55,6.46,25.95,26.60,2.50,26.80,21.20,(20.90),,,,5.43,-4.92,,48.40,-4.92
Bosideng International Holdings Limited (SEHK:3998),4914041,SEHK,"Consumer Discretionary; Textiles, Apparel and Luxury Goods; Apparel, Accessories and Luxury Goods; Apparel; Men's Apparel; Specialty Apparel; Women's, Misses', and Juniors' Apparel; Consumer Durables and Apparel",3.20,2.41,2.95,4.85,5.27,"41,939.64",17.37,10.11,11.66,15.75,17.54,17.37,51.53,71.72,51.47,63.49,80.51,1.36,2.81,106.62,2.81,3.95,40.57,4.18,4.91,17.46,4.59,3.71,(19.17),3.71,3.51,(5.39),,,,3.20,106.62,,51.53,106.62
BYD Company Limited (SEHK:1211),4217796,SEHK,Consumer Discretionary; Automobiles and Components; Automobiles; Automobile Manufacturers,0.60,0.03,0.07,0.06,0.59,"639,242.67",23.06,3.44,9.47,4.70,15.70,23.06,262.52,85.76,79.91,9.34,13.23,47.75,38.85,(18.64),39.35,203.20,416.39,223.20,266.60,19.44,265.20,192.60,(27.38),201.60,214.40,6.35,,,,0.60,-18.64,,262.52,-18.64
BYD Electronic (International) Company Limited (SEHK:285),4971259,SEHK,Information Technology; Technology Hardware and Equipment; Communications Equipment; Communications Equipment,1.48,0.19,1.03,0.48,0.50,"55,766.81",14.71,9.74,27.72,9.98,7.48,14.71,27.50,2.94,23.51,12.49,NA,9.40,14.98,59.36,15.60,40.60,160.26,41.55,28.55,(31.29),28.10,25.10,(10.68),25.60,36.60,42.97,,,,1.48,59.36,,27.50,59.36
Canvest Environmental Protection Group Company Limited (SEHK:1381),5001325,SEHK,Utilities; Utilities; Independent Power and Renewable Electricity Producers; Renewable Electricity,1.64,2.35,2.40,2.85,2.57,"9,709.37",10.93,15.76,15.73,16.18,15.20,10.93,16.18,18.06,18.27,21.96,NA,4.14,3.60,(13.04),3.59,3.32,(7.52),3.40,4.12,21.18,4.17,4.21,0.96,4.18,3.73,(10.77),,,,1.64,-13.04,,16.18,-13.04
"Central China Securities Co., Ltd. (SEHK:1375)",4772305,SEHK,Financials; Financial Services; Capital Markets; Investment Banking and Brokerage; Investment Banking; Security Underwriting Services; Securities and Commodities Markets Services; Commodity Contract Services; Security Brokers and Dealers; Security Brokers; Merger and Acquisition Advisory Services; Commodity Brokers,1.52,1.33,2.21,4.04,0.70,"13,966.56",1.43,0.69,0.83,3.89,0.76,1.43,101.67,0.00,31.31,101.64,13.68,1.62,1.84,13.58,1.88,1.68,(10.64),1.85,1.40,(24.32),1.40,1.13,(19.29),1.15,1.11,(3.48),,,,1.52,13.58,,101.67,13.58
"CGN Power Co., Ltd. (SEHK:1816)",5000915,SEHK,Utilities; Independent Power and Renewable Electricity Producers; Independent Power Producers and Energy Traders; Utilities,4.05,4.97,4.08,5.31,4.74,"207,115.96",10.55,11.90,10.74,10.75,9.87,10.55,140.20,133.22,127.80,122.33,103.98,1.83,2.08,13.66,2.11,1.67,(20.85),1.65,2.37,43.64,2.41,1.86,(22.82),1.90,2.04,7.37,,,,4.05,13.66,,140.20,13.66
Champion Real Estate Investment Trust (SEHK:2778),4143467,SEHK,Real Estate; Equity Real Estate Investment Trusts (REITs); Office REITs; Office REITs,5.23,5.64,6.19,6.96,7.43,"9,558.17",0.47,(0.87),(21.60),(1.67),(1.56),0.47,NM,NM,NM,NA,NA,5.39,5.15,(4.45),5.11,4.53,(11.35),4.57,3.99,(12.69),3.98,3.08,(22.61),3.12,2.45,(21.47),,,,5.23,-4.45,,NM,-4.45
China BlueChemical Ltd. (SEHK:3983),4981539,SEHK,Materials; Materials; Chemicals; Fertilizers and Agricultural Chemicals; Nitrogenous Fertilizers; Phosphatic Fertilizers,8.89,6.74,4.45,9.81,10.09,"11,156.20",12.77,4.99,5.07,10.09,10.37,12.77,98.33,47.00,24.63,43.50,NA,2.33,1.92,(17.60),1.96,1.23,(37.24),1.24,2.17,75.00,2.27,1.85,(18.50),1.90,1.97,3.68,,,,8.89,-17.60,,98.33,-17.60
"China Cinda Asset Management Co., Ltd. (SEHK:1359)",4095175,SEHK,Financials; Financial Services; Capital Markets; Asset Management and Custody Banks; Investment Company and Business Development Companies; Investment Company,6.11,7.65,8.80,10.29,6.97,"24,043.66",3.30,7.50,5.74,6.55,3.55,3.30,36.36,37.79,186.27,73.33,59.28,1.87,1.77,(5.35),1.81,1.47,(18.78),1.45,1.42,(2.07),1.49,1.08,(27.52),1.10,0.78,(29.09),,,,6.11,-5.35,,36.36,-5.35
China CITIC Bank Corporation Limited (SEHK:998),4190041,SEHK,Financials; Banks; Banks; Diversified Commercial Banks; Diversified Banks,5.60,7.94,9.03,10.22,9.78,"336,781.96",9.58,9.94,9.07,9.38,9.48,9.58,26.76,29.91,29.38,29.51,31.23,4.66,4.67,0.21,4.73,3.29,(30.44),3.27,3.38,3.36,3.39,3.46,2.06,3.50,3.68,5.14,,,,5.60,0.21,,26.76,0.21
China Coal Energy Company Limited (SEHK:1898),4333358,SEHK,"Energy; Energy; Oil, Gas and Consumable Fuels; Coal and Consumable Fuels; Coal Products",2.87,5.97,3.58,5.55,6.41,"158,075.90",14.80,7.54,7.37,14.54,16.48,14.80,107.42,112.56,43.47,42.66,44.90,3.06,3.09,0.98,3.16,2.33,(26.27),2.36,4.50,90.68,4.73,6.35,34.25,6.44,7.10,10.25,,,,2.87,0.98,,107.42,0.98
China Communications Construction Company Limited (SEHK:1800),4325237,SEHK,"Industrials; Capital Goods; Construction and Engineering; Construction and Engineering; Heavy Construction; Highway and Street Construction; Bridge, Tunnel, and Elevated Highway Construction; Nonbuilding Structures Construction; Construction Support Services; Rail Construction",4.24,7.60,5.05,6.69,7.11,"139,094.87",6.82,8.03,5.92,6.27,6.11,6.82,105.05,142.15,135.90,141.60,117.83,7.30,6.35,(13.01),6.54,3.35,(48.78),3.29,4.24,28.88,4.27,3.75,(12.18),3.85,3.48,(9.61),,,,4.24,-13.01,,105.05,-13.01
China Communications Services Corporation Limited (SEHK:552),4999624,SEHK,Industrials; Capital Goods; Construction and Engineering; Construction and Engineering,2.51,4.23,4.26,6.72,6.57,"24,310.32",8.75,8.93,8.56,8.30,8.57,8.75,29.13,30.03,29.95,35.57,35.71,6.16,5.68,(7.79),5.67,3.42,(39.68),3.31,3.80,14.80,3.80,2.85,(25.00),3.01,3.24,7.64,,,,2.51,-7.79,,29.13,-7.79
China Conch Venture Holdings Limited (SEHK:586),4992492,SEHK,Industrials; Construction and Engineering; Construction and Engineering; Commercial Construction and Engineering; Construction Support Services; Engineering and Surveying Services; Engineering Services; Capital Goods,1.62,1.72,1.84,4.13,6.17,"9,572.84",5.65,24.13,19.77,16.05,8.70,5.65,12.49,13.85,14.18,6.83,NA,22.90,34.00,48.47,35.40,37.70,6.50,38.15,38.10,(0.13),38.10,16.96,(55.49),16.96,6.48,(61.79),,,,1.62,48.47,,12.49,48.47
China Construction Bank Corporation (SEHK:939),4147550,SEHK,Financials; Banks; Banks; Diversified Banks; Diversified Commercial Banks,5.19,5.94,7.24,8.71,9.07,"1,218,816.15",10.99,12.74,11.83,12.15,11.83,10.99,30.46,31.00,29.05,28.90,30.53,6.27,6.73,7.34,6.80,5.89,(13.38),5.77,5.40,(6.41),5.44,4.89,(10.11),4.93,4.65,(5.68),,,,5.19,7.34,,30.46,7.34
"China Datang Corporation Renewable Power Co., Limited (SEHK:1798)",5001404,SEHK,Utilities; Utilities; Independent Power and Renewable Electricity Producers; Renewable Electricity; Alternative Energy Resources; Electric Power By Solar Energy; Electric Power By Wind Energy; Hydroelectric Power Generation,2.91,2.70,1.00,1.52,3.00,"11,783.40",8.81,7.68,7.35,7.76,11.86,8.81,279.36,18.39,33.82,21.67,32.71,0.92,0.79,(14.13),0.79,1.22,54.43,1.38,3.59,160.14,3.98,2.31,(41.96),2.37,1.80,(24.05),,,,2.91,-14.13,,279.36,-14.13
"China Development Bank Financial Leasing Co., Ltd. (SEHK:1606)",4314033,SEHK,Financials; Financial Services; Financial Services; Specialized Finance; Credit Agencies; Business Credit Agencies; Finance Leasing,6.77,9.95,7.89,10.29,6.24,"25,411.18",11.60,11.78,12.50,13.83,10.41,11.60,38.40,37.91,23.43,39.44,22.70,1.95,1.50,(23.08),1.40,1.15,(17.86),1.13,1.18,4.42,1.11,1.06,(4.50),1.04,1.39,33.65,,,,6.77,-23.08,,38.40,-23.08
China Education Group Holdings Limited (SEHK:839),9310246,SEHK,"Consumer Discretionary; Consumer Services; Diversified Consumer Services; Education Services; Schools; Colleges, Universities, Professional Schools, and Junior Colleges; Junior Colleges and Technical Institutes; Vocational Schools",1.23,1.83,3.15,3.63,4.92,"10,237.60",8.84,10.20,8.93,14.25,13.67,8.84,32.07,64.87,44.11,21.41,88.19,9.24,10.20,10.39,10.16,14.94,47.05,15.04,12.66,(15.82),12.22,10.10,(17.35),9.99,4.90,(50.95),,,,1.23,10.39,,32.07,10.39
China Energy Engineering Corporation Limited (SEHK:3996),4990246,SEHK,"Industrials; Capital Goods; Construction and Engineering; Commercial Construction and Engineering; Construction Support Services; Construction Management Services; Engineering and Surveying Services; Engineering Services; Heavy Construction; Nonbuilding Structures Construction; Specialty Contract Work; Construction and Engineering; Architectural Services; Power and Communication Transmission Lines; Water, Sewer and Pipeline Construction; Structural Metal and Steel Work",3.71,4.47,2.07,2.90,3.66,"83,514.19",6.33,9.21,6.88,6.67,6.57,6.33,29.70,159.37,112.16,102.74,107.22,0.95,0.94,(1.05),0.93,0.75,(19.35),0.76,1.32,73.68,1.39,0.91,(34.53),0.92,0.78,(15.22),,,,3.71,-1.05,,29.70,-1.05
China Everbright Environment Group Limited (SEHK:257),4988849,SEHK,Industrials; Commercial and Professional Services; Commercial Services and Supplies; Environmental and Facilities Services; Sanitary Services; Environmental Consulting,4.00,6.16,5.59,8.60,9.06,"18,674.64",7.92,14.91,14.42,13.55,8.58,7.92,29.52,27.57,31.60,40.05,NA,6.90,6.25,(9.42),6.27,4.38,(30.14),4.51,6.26,38.80,6.63,3.49,(47.36),3.52,2.54,(27.84),,,,4.00,-9.42,,29.52,-9.42
China Foods Limited (SEHK:506),4910503,SEHK,"Consumer Staples; Food, Beverage and Tobacco; Beverages; Soft Drinks and Non-alcoholic Beverages; Bottled Water; Juices",1.30,1.89,3.48,4.46,4.52,"8,307.75",14.94,11.06,12.39,13.05,14.03,14.94,23.03,24.51,43.49,45.02,NA,2.73,3.01,10.26,3.02,2.54,(15.89),2.72,3.05,12.13,3.12,2.80,(10.26),2.79,2.94,5.38,,,,1.30,10.26,,23.03,10.26
"China Galaxy Securities Co., Ltd. (SEHK:6881)",4327156,SEHK,Financials; Financial Services; Capital Markets; Investment Banking and Brokerage; Investment Banking; Securities and Commodities Markets Services; Security Brokers and Dealers; Security Brokers; Commodity Contract Services,2.23,3.60,5.89,9.53,5.94,"100,405.87",6.76,7.60,9.50,11.62,7.71,6.76,16.91,22.59,23.01,43.88,33.09,3.44,4.59,33.43,4.72,4.86,2.97,4.80,4.48,(6.67),4.54,3.81,(16.08),3.86,4.13,6.99,,,,2.23,33.43,,16.91,33.43
China Gas Holdings Limited (SEHK:384),5000748,SEHK,Utilities; Utilities; Gas Utilities; Gas Utilities; Oil and Gas Distribution; Natural Gas Transmission,1.58,1.62,3.40,4.84,7.13,"37,396.74",7.47,24.44,23.70,22.09,13.31,7.47,21.60,26.13,24.90,39.97,69.69,26.15,29.20,11.66,29.25,30.80,5.30,30.70,16.20,(47.23),16.40,11.36,(30.73),11.48,7.71,(32.84),,,,1.58,11.66,,21.60,11.66
China Hongqiao Group Limited (SEHK:1378),4357891,SEHK,"Materials; Materials; Metals and Mining; Aluminum; Aluminum Production; Rolling, Drawing and Extruding of Aluminum",5.11,4.51,11.54,13.70,3.44,"93,713.08",12.34,10.04,14.63,19.91,10.39,12.34,31.52,35.90,45.34,102.51,NA,4.25,4.70,10.59,4.83,7.10,47.00,7.23,8.23,13.83,8.47,7.37,(12.99),7.52,6.39,(15.03),,,,5.11,10.59,,31.52,10.59
China Life Insurance Company Limited (SEHK:2628),4090721,SEHK,Financials; Insurance; Insurance; Life and Health Insurance; Health and Medical Insurance; Life Insurance,0.84,4.68,5.95,5.68,5.27,"676,548.78",4.95,16.11,11.86,11.07,7.19,4.95,35.80,36.56,34.51,19.83,26.32,16.20,21.65,33.64,22.00,17.10,(22.27),17.10,12.92,(24.44),13.00,13.40,3.08,13.66,10.12,(25.92),,,,0.84,33.64,,35.80,33.64
China Lilang Limited (SEHK:1234),4912333,SEHK,"Consumer Discretionary; Consumer Durables and Apparel; Textiles, Apparel and Luxury Goods; Apparel, Accessories and Luxury Goods; Accessories; Apparel; Men's Apparel",6.13,6.24,7.34,6.38,5.20,"5,652.13",13.69,23.19,15.35,12.78,12.02,13.69,51.53,64.28,67.82,53.74,45.23,6.70,6.36,(5.07),6.34,5.29,(16.56),5.38,4.36,(18.96),4.37,3.76,(13.96),3.82,4.23,10.73,,,,6.13,-5.07,,51.53,-5.07
China Longyuan Power Group Corporation Limited (SEHK:916),4294264,SEHK,Utilities; Utilities; Electric Power By Solar Energy; Independent Power and Renewable Electricity Producers; Renewable Electricity; Alternative Energy Resources; Electric Power By Wind Energy,2.28,1.51,0.78,1.80,2.17,"116,896.85",8.30,9.08,8.95,11.66,7.71,8.30,17.19,17.21,12.72,93.24,75.82,5.28,4.93,(6.63),5.05,7.77,53.86,8.60,18.20,111.63,19.20,9.54,(50.31),10.30,5.92,(42.52),,,,2.28,-6.63,,17.19,-6.63
China Medical System Holdings Limited (SEHK:867),4811436,SEHK,"Pharmaceuticals, Biotechnology and Life Sciences; Pharmaceuticals; Pharmaceutical Products; Anti-infective Drugs; Cardiovascular Drugs; Gastrointestinal Drugs; Oncology Drugs; Respiratory Drugs; Health Care; Pharmaceuticals",3.37,4.31,4.30,5.02,4.45,"17,408.88",15.74,21.83,24.79,25.26,23.75,15.74,41.96,32.96,38.27,39.16,56.66,6.90,11.22,62.61,11.12,8.66,(22.12),9.04,13.02,44.03,13.64,12.28,(9.97),12.46,13.84,11.08,,,,3.37,62.61,,41.96,62.61
China Mengniu Dairy Company Limited (SEHK:2319),4910484,SEHK,"Consumer Staples; Food, Beverage and Tobacco; Food Products; Packaged Foods and Meats; Dairy Products and Eggs; Dry, Condensed, And Evaporated Dairy Products; Milk; Prepared and Preserved Foods; Desserts and Dessert Toppings; Ice Cream, Flavored Ices and Frozen Desserts; Dairy Products; Cheese",0.65,0.42,0.74,1.27,2.11,"60,577.98",9.71,13.46,9.92,12.53,11.27,9.71,17.27,20.05,21.31,28.41,NA,23.85,31.50,32.08,31.90,46.80,46.71,47.80,44.20,(7.53),44.85,35.40,(21.07),36.40,21.00,(42.31),,,,0.65,32.08,,17.27,32.08
China Merchants Port Holdings Company Limited (SEHK:144),4995324,SEHK,Industrials; Transportation; Transportation Infrastructure; Marine Ports and Services; Marine Cargo Services,7.21,8.01,5.14,8.22,7.71,"41,812.17",6.07,10.14,5.85,7.87,7.30,6.07,19.60,14.26,14.26,11.75,NA,14.00,13.18,(5.86),13.32,9.49,(28.75),9.52,14.20,49.16,14.48,11.44,(20.99),11.58,10.64,(8.12),,,,7.21,-5.86,,19.60,-5.86
China Mobile Limited (SEHK:941),6235058,SEHK,Communication Services; Telecommunication Services; Wireless Telecommunication Services; Wireless Telecommunication Services; Cellular Services; Mobile Data Services,4.45,7.36,7.24,8.95,7.16,"1,493,464.25",10.24,9.87,9.57,9.98,10.29,10.24,49.95,55.38,49.84,69.29,69.18,73.40,65.50,(10.76),65.35,44.20,(32.36),43.85,46.80,6.73,47.10,51.75,9.87,52.50,64.80,23.43,,,,4.45,-10.76,,49.95,-10.76
